angry0,angry1,box0,box1,disgust0,disgust1,fear0,fear1,happy0,happy1,neutral0,neutral1,sad0,sad1,surprise0,surprise1
0.03,0.51,"[222, 155, 137, 177]","[183, 206, 51, 74]",0.0,0.0,0.14,0.1,0.01,0.05,0.53,0.1,0.26,0.18,0.03,0.06
0.05,,"[225, 156, 132, 173]",,0.0,,0.19,,0.01,,0.43,,0.27,,0.05,
0.03,,"[225, 165, 129, 166]",,0.0,,0.15,,0.0,,0.53,,0.25,,0.03,
0.04,0.48,"[225, 155, 133, 174]","[183, 203, 53, 75]",0.0,0.01,0.19,0.08,0.01,0.13,0.37,0.12,0.35,0.17,0.04,0.02
0.04,,"[227, 155, 132, 173]",,0.0,,0.22,,0.01,,0.33,,0.36,,0.04,
0.04,,"[226, 156, 132, 172]",,0.0,,0.26,,0.01,,0.35,,0.31,,0.03,
0.05,,"[225, 157, 132, 175]",,0.0,,0.12,,0.02,,0.56,,0.24,,0.01,
0.07,,"[227, 159, 133, 171]",,0.0,,0.13,,0.05,,0.4,,0.31,,0.05,
0.07,,"[230, 161, 131, 170]",,0.0,,0.05,,0.02,,0.5,,0.34,,0.02,
0.05,,"[228, 160, 134, 171]",,0.0,,0.07,,0.03,,0.55,,0.29,,0.02,
0.07,0.35,"[229, 160, 130, 172]","[189, 208, 49, 71]",0.0,0.0,0.03,0.14,0.04,0.05,0.58,0.23,0.26,0.17,0.01,0.05
0.07,,"[232, 171, 124, 162]",,0.0,,0.06,,0.11,,0.5,,0.25,,0.01,
0.06,,"[237, 174, 128, 159]",,0.0,,0.03,,0.08,,0.6,,0.24,,0.0,
0.04,,"[239, 175, 127, 159]",,0.0,,0.02,,0.03,,0.83,,0.07,,0.0,
0.05,,"[239, 173, 127, 162]",,0.0,,0.01,,0.02,,0.84,,0.09,,0.0,
0.04,,"[237, 172, 128, 161]",,0.0,,0.01,,0.01,,0.88,,0.05,,0.0,
0.1,,"[239, 171, 125, 162]",,0.0,,0.02,,0.01,,0.71,,0.15,,0.0,
0.11,,"[238, 169, 131, 166]",,0.0,,0.01,,0.02,,0.69,,0.17,,0.0,
0.09,,"[238, 171, 130, 162]",,0.0,,0.02,,0.02,,0.63,,0.24,,0.0,
0.06,,"[239, 171, 129, 163]",,0.0,,0.01,,0.01,,0.72,,0.2,,0.0,
0.14,,"[238, 170, 124, 158]",,0.0,,0.01,,0.01,,0.71,,0.13,,0.0,
0.04,,"[240, 168, 128, 161]",,0.0,,0.04,,0.01,,0.69,,0.22,,0.0,
0.05,,"[240, 167, 129, 163]",,0.0,,0.02,,0.01,,0.75,,0.17,,0.0,
0.06,,"[242, 171, 126, 159]",,0.0,,0.05,,0.01,,0.51,,0.37,,0.0,
0.05,,"[241, 170, 128, 162]",,0.0,,0.05,,0.0,,0.6,,0.29,,0.0,
0.08,,"[244, 173, 127, 156]",,0.0,,0.07,,0.01,,0.54,,0.3,,0.0,
0.09,,"[245, 171, 126, 159]",,0.0,,0.06,,0.01,,0.43,,0.41,,0.0,
0.09,,"[243, 171, 128, 159]",,0.0,,0.09,,0.01,,0.29,,0.52,,0.0,
0.08,,"[243, 171, 128, 160]",,0.0,,0.05,,0.01,,0.42,,0.44,,0.01,
0.06,,"[243, 174, 129, 157]",,0.0,,0.05,,0.01,,0.42,,0.45,,0.0,
0.11,,"[244, 170, 127, 162]",,0.0,,0.03,,0.02,,0.42,,0.43,,0.0,
0.15,,"[242, 172, 128, 160]",,0.0,,0.03,,0.02,,0.36,,0.44,,0.0,
0.18,,"[243, 175, 125, 154]",,0.0,,0.02,,0.02,,0.28,,0.5,,0.0,
0.25,,"[237, 177, 126, 159]",,0.0,,0.08,,0.1,,0.27,,0.23,,0.07,
0.3,,"[242, 182, 123, 158]",,0.0,,0.07,,0.2,,0.1,,0.26,,0.06,
0.28,,"[238, 183, 122, 157]",,0.0,,0.02,,0.23,,0.1,,0.35,,0.02,
