angry0,angry1,box0,box1,disgust0,disgust1,fear0,fear1,happy0,happy1,neutral0,neutral1,sad0,sad1,surprise0,surprise1
0.03,,"[241, 156, 126, 165]",,0.0,,0.03,,0.02,,0.45,,0.46,,0.0,
0.04,,"[243, 163, 125, 160]",,0.0,,0.03,,0.01,,0.69,,0.23,,0.0,
0.03,,"[244, 163, 127, 164]",,0.0,,0.02,,0.01,,0.69,,0.24,,0.0,
0.07,,"[242, 169, 123, 153]",,0.0,,0.01,,0.01,,0.62,,0.28,,0.0,
0.02,,"[247, 174, 121, 152]",,0.0,,0.02,,0.0,,0.82,,0.13,,0.0,
0.02,,"[250, 174, 123, 154]",,0.0,,0.02,,0.0,,0.91,,0.05,,0.0,
0.01,,"[252, 173, 123, 157]",,0.0,,0.01,,0.0,,0.91,,0.07,,0.0,
0.05,,"[253, 175, 119, 154]",,0.0,,0.03,,0.0,,0.75,,0.17,,0.0,
0.03,,"[255, 173, 120, 156]",,0.0,,0.03,,0.0,,0.78,,0.15,,0.0,
0.05,,"[255, 174, 118, 152]",,0.0,,0.07,,0.01,,0.68,,0.17,,0.02,
0.05,,"[256, 175, 119, 150]",,0.0,,0.15,,0.0,,0.62,,0.15,,0.02,
0.02,,"[252, 168, 121, 157]",,0.0,,0.02,,0.0,,0.83,,0.12,,0.01,
0.02,,"[251, 167, 122, 158]",,0.0,,0.02,,0.0,,0.82,,0.14,,0.0,
0.02,,"[250, 165, 122, 160]",,0.0,,0.04,,0.0,,0.75,,0.18,,0.0,
0.02,,"[250, 166, 121, 158]",,0.0,,0.06,,0.0,,0.76,,0.15,,0.01,
0.03,,"[248, 166, 124, 160]",,0.0,,0.05,,0.0,,0.76,,0.16,,0.01,
0.02,,"[249, 168, 124, 158]",,0.0,,0.03,,0.0,,0.87,,0.08,,0.01,
0.04,,"[248, 169, 124, 156]",,0.0,,0.05,,0.01,,0.73,,0.17,,0.0,
0.03,,"[248, 170, 122, 155]",,0.0,,0.02,,0.01,,0.84,,0.1,,0.0,
0.03,,"[248, 170, 122, 157]",,0.0,,0.02,,0.0,,0.82,,0.13,,0.0,
0.03,,"[243, 165, 130, 164]",,0.0,,0.02,,0.02,,0.84,,0.09,,0.0,
0.04,,"[243, 176, 119, 149]",,0.0,,0.01,,0.02,,0.81,,0.12,,0.0,
0.03,,"[236, 169, 124, 156]",,0.0,,0.02,,0.0,,0.86,,0.09,,0.0,
0.02,,"[233, 167, 123, 158]",,0.0,,0.02,,0.01,,0.9,,0.05,,0.0,
0.03,,"[235, 166, 121, 157]",,0.0,,0.03,,0.01,,0.82,,0.11,,0.0,
0.08,,"[238, 166, 126, 157]",,0.0,,0.08,,0.02,,0.58,,0.24,,0.01,
0.03,,"[240, 173, 123, 156]",,0.0,,0.01,,0.73,,0.16,,0.06,,0.0,
0.0,,"[234, 160, 132, 166]",,0.0,,0.0,,0.96,,0.03,,0.0,,0.0,
0.0,,"[234, 160, 134, 166]",,0.0,,0.0,,0.98,,0.01,,0.0,,0.0,
0.0,,"[236, 162, 132, 164]",,0.0,,0.0,,0.99,,0.01,,0.0,,0.0,
0.0,,"[237, 159, 132, 171]",,0.0,,0.0,,0.99,,0.01,,0.0,,0.0,
0.0,,"[239, 160, 133, 168]",,0.0,,0.0,,0.98,,0.02,,0.0,,0.0,
0.0,,"[239, 159, 135, 169]",,0.0,,0.0,,0.99,,0.01,,0.0,,0.0,
0.0,,"[241, 161, 132, 164]",,0.0,,0.0,,0.98,,0.01,,0.0,,0.0,
0.0,,"[241, 161, 133, 165]",,0.0,,0.0,,0.98,,0.02,,0.0,,0.0,
0.0,,"[240, 160, 133, 167]",,0.0,,0.0,,0.99,,0.01,,0.0,,0.0,
0.0,,"[239, 159, 134, 168]",,0.0,,0.0,,0.99,,0.01,,0.0,,0.0,
0.0,,"[237, 160, 133, 170]",,0.0,,0.0,,0.99,,0.0,,0.0,,0.0,
0.0,,"[238, 162, 131, 167]",,0.0,,0.0,,1.0,,0.0,,0.0,,0.0,
0.0,,"[239, 160, 131, 168]",,0.0,,0.0,,0.99,,0.0,,0.0,,0.0,
0.0,,"[237, 161, 130, 161]",,0.0,,0.0,,0.99,,0.01,,0.0,,0.0,
0.0,,"[238, 160, 128, 161]",,0.0,,0.0,,0.99,,0.01,,0.0,,0.0,
0.0,,"[237, 159, 131, 165]",,0.0,,0.0,,0.99,,0.0,,0.0,,0.0,
0.0,,"[237, 159, 130, 164]",,0.0,,0.0,,0.99,,0.01,,0.0,,0.0,
0.0,,"[237, 162, 127, 161]",,0.0,,0.0,,0.99,,0.01,,0.0,,0.0,
0.0,,"[242, 173, 124, 158]",,0.0,,0.0,,1.0,,0.0,,0.0,,0.0,
0.01,,"[236, 167, 127, 164]",,0.0,,0.0,,0.37,,0.51,,0.1,,0.0,
0.01,,"[236, 166, 127, 163]",,0.0,,0.0,,0.3,,0.62,,0.07,,0.0,
0.03,,"[237, 169, 130, 155]",,0.0,,0.01,,0.18,,0.61,,0.17,,0.0,
0.01,,"[238, 167, 126, 160]",,0.0,,0.01,,0.1,,0.77,,0.12,,0.0,
0.03,,"[240, 171, 124, 156]",,0.0,,0.01,,0.07,,0.69,,0.2,,0.0,
0.02,,"[239, 171, 129, 156]",,0.0,,0.01,,0.11,,0.64,,0.22,,0.0,
0.01,,"[237, 169, 126, 157]",,0.0,,0.0,,0.06,,0.83,,0.1,,0.0,
0.02,,"[240, 171, 123, 157]",,0.0,,0.01,,0.05,,0.79,,0.13,,0.0,
0.01,,"[238, 164, 133, 160]",,0.0,,0.01,,0.03,,0.87,,0.07,,0.0,
0.02,,"[239, 166, 129, 155]",,0.0,,0.01,,0.09,,0.73,,0.15,,0.0,
0.01,,"[240, 170, 124, 156]",,0.0,,0.01,,0.06,,0.84,,0.08,,0.0,
0.01,,"[239, 164, 131, 160]",,0.0,,0.01,,0.04,,0.85,,0.09,,0.0,
